cartodb_id,name,description,created_at,updated_at,the_geom,bbox,type,resource,id,dataset_id,scientificname,ee_id
83004,Lanius_senator,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,-3.480000000000004,58.69,52.94",raster,rasters/04040405428907908306-18014729134923767409,04040405428907908306-18014729134923767409,iucn_birds,Lanius senator,GME/images/04040405428907908306-18014729134923767409
83005,Lanius_nubicus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-9.150000000000002,7.800000000000006,51.879999999999995,42.45",raster,rasters/04040405428907908306-07242863469955948615,04040405428907908306-07242863469955948615,iucn_birds,Lanius nubicus,GME/images/04040405428907908306-07242863469955948615
83006,Lanius_marwitzi,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"32.95,-9.82,38.49,-3.0299999999999994",raster,rasters/04040405428907908306-03526331000339774446,04040405428907908306-03526331000339774446,iucn_birds,Lanius marwitzi,GME/images/04040405428907908306-03526331000339774446
83007,Lanius_gubernator,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-7.52,2.030000000000001,33.989999999999995,11.310000000000004",raster,rasters/04040405428907908306-01708529801870109567,04040405428907908306-01708529801870109567,iucn_birds,Lanius gubernator,GME/images/04040405428907908306-01708529801870109567
83008,Lanius_excubitoroides,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-6.750000000000001,-11.400000000000002,42.400000000000006,16.7",raster,rasters/04040405428907908306-00050536340030540619,04040405428907908306-00050536340030540619,iucn_birds,Lanius excubitoroides,GME/images/04040405428907908306-00050536340030540619
83009,Lanio_fulvus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.94,-6.579999999999999,-50.949999999999996,8.17",raster,rasters/04040405428907908306-12582031327684154280,04040405428907908306-12582031327684154280,iucn_birds,Lanio fulvus,GME/images/04040405428907908306-12582031327684154280
83010,Lanioturdus_torquatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"12.199999999999998,-24.9,18.43,-11.549999999999999",raster,rasters/04040405428907908306-11321276958890952985,04040405428907908306-11321276958890952985,iucn_birds,Lanioturdus torquatus,GME/images/04040405428907908306-11321276958890952985
83011,Laniarius_ruficeps,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"37.84,-4.24,49.84,10.320000000000004",raster,rasters/04040405428907908306-04966298464101812614,04040405428907908306-04966298464101812614,iucn_birds,Laniarius ruficeps,GME/images/04040405428907908306-04966298464101812614
83012,Laniarius_poensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"8.419999999999998,-5.380000000000001,31.120000000000005,7.9300000000000015",raster,rasters/04040405428907908306-05164148400559079183,04040405428907908306-05164148400559079183,iucn_birds,Laniarius poensis,GME/images/04040405428907908306-05164148400559079183
83013,Laniarius_atroflavus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"8.92,4.059999999999999,12.590000000000002,7.629999999999998",raster,rasters/04040405428907908306-15057894237820888316,04040405428907908306-15057894237820888316,iucn_birds,Laniarius atroflavus,GME/images/04040405428907908306-15057894237820888316
83014,Laniarius_amboimensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"14.27,-10.95,14.47,-10.76",raster,rasters/04040405428907908306-07644964951809144385,04040405428907908306-07644964951809144385,iucn_birds,Laniarius amboimensis,GME/images/04040405428907908306-07644964951809144385
83015,Lamprotornis_purpureus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,-0.7099999999999993,35.02,15.720000000000002",raster,rasters/04040405428907908306-15796301552468997660,04040405428907908306-15796301552468997660,iucn_birds,Lamprotornis purpureus,GME/images/04040405428907908306-15796301552468997660
83016,Lamprotornis_pulcher,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,9.16,39.96000000000001,20.07",raster,rasters/04040405428907908306-07652191155578677540,04040405428907908306-07652191155578677540,iucn_birds,Lamprotornis pulcher,GME/images/04040405428907908306-07652191155578677540
83017,Lamprotornis_mevesii,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"12.599999999999998,-24.449999999999996,35.24,-9.930000000000001",raster,rasters/04040405428907908306-01355500124990816604,04040405428907908306-01355500124990816604,iucn_birds,Lamprotornis mevesii,GME/images/04040405428907908306-01355500124990816604
83018,Lamprotornis_cupreocauda,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-13.299999999999999,4.350000000000001,0.3099999999999987,9.299999999999997",raster,rasters/04040405428907908306-04326397946006305537,04040405428907908306-04326397946006305537,iucn_birds,Lamprotornis cupreocauda,GME/images/04040405428907908306-04326397946006305537
83019,Lamprotornis_chloropterus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,-0.0799999999999983,39.82000000000001,18.48",raster,rasters/04040405428907908306-12216983552748005964,04040405428907908306-12216983552748005964,iucn_birds,Lamprotornis chloropterus,GME/images/04040405428907908306-12216983552748005964
83020,Lamprotornis_chalybaeus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,-26.26,47.49000000000001,19.14",raster,rasters/04040405428907908306-07629369358567499010,04040405428907908306-07629369358567499010,iucn_birds,Lamprotornis chalybaeus,GME/images/04040405428907908306-07629369358567499010
83021,Lamprotornis_caudatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,5.450000000000001,33,16.8",raster,rasters/04040405428907908306-09441131280112392632,04040405428907908306-09441131280112392632,iucn_birds,Lamprotornis caudatus,GME/images/04040405428907908306-09441131280112392632
83022,Lamprotornis_australis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"13.110000000000001,-28.179999999999996,32.370000000000005,-12.67",raster,rasters/04040405428907908306-04682411512815937782,04040405428907908306-04682411512815937782,iucn_birds,Lamprotornis australis,GME/images/04040405428907908306-04682411512815937782
83023,Lampornis_castaneoventris,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-84.2,8.69,-82.42,9.83",raster,rasters/04040405428907908306-17146787367387545028,04040405428907908306-17146787367387545028,iucn_birds,Lampornis castaneoventris,GME/images/04040405428907908306-17146787367387545028
